Avibase.ID,spname,Species,gbif_dwnld_date,gbif_TaxonKey,maxrecords_in_gbif,maxrecords_PRESENT_only,comments,gbif_dwnld_type
AVIBASE-0BDB87DE,Passerina ciris,Passerina ciris,9/28/2022,5230852,374223,374033,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5230852&occurrence_status=present,manual
AVIBASE-043F337A,Passerina cyanea,Passerina cyanea,9/28/2022,2490327,2509202,2509078,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2490327&occurrence_status=present,manual
AVIBASE-1680EFDE,Passerina versicolor,Passerina versicolor,9/24/2022,5230855,53772,53740,NA,code
AVIBASE-3B008E78,Patagioenas fasciata,Patagioenas fasciata,9/28/2022,2495266,619513,619478,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2495266&occurrence_status=present,manual
AVIBASE-5F571C8A,Patagioenas leucocephala,Patagioenas leucocephala,9/24/2022,2495310,81122,81113,NA,code
AVIBASE-866903B9,Pelecanus erythrorhynchos,Pelecanus erythrorhynchos,9/28/2022,5229155,1386233,1386203,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5229155&occurrence_status=present,manual
AVIBASE-F59AB6B3,Pelecanus occidentalis,Pelecanus occidentalis,9/28/2022,5229158,1775955,1775336,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5229158&occurrence_status=present,manual
AVIBASE-8BAFB01E,Pelecanus onocrotalus,Pelecanus onocrotalus,8/2/2023,2480350,79123,79123,NA,code
AVIBASE-C013A20E,Perdix perdix,Perdix perdix,9/28/2022,2473958,495623,494062,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2473958&occurrence_status=present,manual
AVIBASE-69A6E32F,Perisoreus canadensis,Perisoreus canadensis,9/28/2022,2482436,301213,301053,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2482436&occurrence_status=present,manual
AVIBASE-79A1EDEC,Petrochelidon fulva,Petrochelidon fulva,9/28/2022,2489166,125648,125636,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2489166&occurrence_status=present,manual
AVIBASE-F5C181CA,Petrochelidon pyrrhonota,Petrochelidon pyrrhonota,9/28/2022,2489169,1576054,1575981,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2489169&occurrence_status=present,manual
AVIBASE-DAD22BB6,Peucaea aestivalis,Peucaea aestivalis,9/24/2022,7341544,37791,37786,NA,code
AVIBASE-F4C9CD76,Peucaea botterii,Peucaea botterii,9/24/2022,7341548,25207,25204,NA,code
AVIBASE-B58AFD6E,Peucaea cassinii,Peucaea cassinii,9/24/2022,6091692,63647,63639,NA,code
AVIBASE-9D945327,Peucedramus taeniatus,Peucedramus taeniatus,9/24/2022,2492276,38924,38890,NA,code
AVIBASE-BD929CBC,Phainopepla nitens,Phainopepla nitens,9/29/2022,2492885,398247,398190,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2492885&occurrence_status=present,manual
AVIBASE-3AC46C54,Phalacrocorax auritus,Phalacrocorax auritus,9/29/2022,2481875,6757122,6756570,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2481875&occurrence_status=present,manual
AVIBASE-AE61BF48,Phalacrocorax capensi,Phalacrocorax capensis,8/2/2023,2481899,51032,51032,NA,code
AVIBASE-A429B5B8,Phalacrocorax pelagicus,Phalacrocorax pelagicus,9/29/2022,2481870,426445,426423,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2481870&occurrence_status=present,manual
AVIBASE-987A703D,Phalacrocorax penicillatus,Phalacrocorax penicillatus,9/24/2022,2481892,4016,4001,NA,code
